단지명,전용면적,위도,경도,지하철역까지(m),환율,맛집,문화공간,문화재,쇼핑,버스정류장까지(m),버스정류장,금리,보증금고려월세,지하철역,소비자물가지수,종합주가지수,주택담보대출금리,예측일일가격,예측월세가격,기존월세가격,월수입차액,주소
남산타운,114.88,37.54716677,127.0056772,153.7732237,1314.9,30,13,28,6,38.78579685,버티고개,2.25,223.75,버티고개역,108.74,2362.79,3.17,36.114967,379.20712,223.75,155.45712280273438,서울특별시 중구 신당동
aaa,56.43,37.56744648,127.0165271,147.34852,1199.4,42,14,17,30,121.0655538,성동공업고등학교(무궁화회관),1.25,135.2083333,신당역,105.3,2724.02,2.88,27.53805,289.1495,135.2083333,153.94117231523438,서울특별시 중구 흥인동
삼성,114.91,37.55853588,127.0184475,472.8633598,1304.0,55,17,24,29,25.03257628,신당동삼성아파트.금호여중,2.25,218.75,신금호역,108.74,2362.79,3.17,35.438564,372.10495,218.75,153.35494995117188,서울특별시 중구 신당동
삼성사이버빌리지,59.7,37.55892666,126.9643209,86.42285254,1309.8,73,29,74,4,66.59799483,종근당.충정로역,2.5,128.6666667,충정로(경기대입구)역,108.62,2479.57,3.27,26.796127,281.3593,128.6666667,152.69264726484374,서울특별시 중구 중림동
롯데캐슬,84.9,37.57081055,127.0214639,533.6157523,1370.1,21,7,4,23,99.4277459,황학동롯데캐슬,3.25,231.25,신설동역,109.1,2417.56,3.62,36.46996,382.93457,231.25,151.6845703125,서울특별시 중구 황학동
약수하이츠,84.88,37.5551916,127.0163594,358.1312623,1338.2,47,17,24,13,392.9343566,신당동대우푸르지오.금호여중,2.5,230.4166667,신금호역,108.62,2479.57,3.27,36.381393,382.0046,230.4166667,151.58794145429687,서울특별시 중구 신당동
롯데캐슬,59.94,37.57081055,127.0214639,533.6157523,1310.0,21,7,4,23,99.4277459,황학동롯데캐슬,2.25,126.875,신설동역,108.74,2362.79,3.17,26.469082,277.92535,126.875,151.05035400390625,서울특별시 중구 황학동
현대,79.11,37.56050431,127.0229705,642.5304145,1404.2,27,9,13,16,145.0156737,금호베스트빌.래미안하이베르,3.0,112.5,신당역,109.21,2230.27,3.52,25.0968,263.5164,112.5,151.01638793945312,서울특별시 중구 신당동
순화동더샵,49.2,37.5602669,126.9720353,348.46062,1408.4,143,43,101,9,38.29151535,숭례문라마다&스위트호텔,2.5,90.66666667,서울역,108.93,2333.93,3.38,22.936651,240.83484,90.66666667,150.16817219718752,서울특별시 중구 순화동
래미안하이베르,59.95,37.56103798,127.0209858,524.9534945,1251.2,44,15,23,27,264.0077329,동화동,1.75,143.75,신당역,108.74,2474.95,3.1,27.768724,291.5716,143.75,147.82159423828125,서울특별시 중구 신당동
서울역센트럴자이,84.9791,37.55478004,126.9644582,546.5467807,1251.2,47,20,55,4,161.2238443,손기정체육공원입구,1.75,247.1666667,충정로(경기대입구)역,108.74,2474.95,3.1,37.53973,394.16714,247.1666667,147.00047807539062,서울특별시 중구 만리동2가
남산타운,84.88,37.54716677,127.0056772,153.7732237,1394.2,30,13,28,6,38.78579685,버티고개,2.5,230.8333333,버티고개역,108.93,2333.93,3.38,35.798264,375.88174,230.8333333,145.04841108476563,서울특별시 중구 신당동
남산타운,84.88,37.54716677,127.0056772,153.7732237,1394.2,30,13,28,6,38.78579685,버티고개,2.5,230.8333333,버티고개역,108.93,2333.93,3.38,35.798264,375.88174,230.8333333,145.04841108476563,서울특별시 중구 신당동
